# t x y z vx vy vz phi theta gamma phid thetad gammad
1.560133630289529671e+00 1.022995921759201998e+01 1.816152863286802921e+00 1.969720790370577346e+00 3.503404549839701065e+00 3.338476436173817063e+00 -1.628980018345796310e+00 -4.385923039104241417e-01 -8.507491082338822785e-01 7.725338701650247231e+01 -4.516575130144463712e-02 -3.791757313849768996e-01 4.943931078092145270e+01
1.563474387527836962e+00 1.024163803115406957e+01 1.827328614314280619e+00 1.964247295741995192e+00 3.488300154034120304e+00 3.352072512734790344e+00 -1.647826702987486014e+00 -4.387361467848392982e-01 -8.520161420646193973e-01 7.741855600973188700e+01 -4.094550496409862100e-02 -3.793549072292056734e-01 4.944186285176645157e+01
1.566815144766144252e+00 1.025326626730683088e+01 1.838549779382472771e+00 1.958710759599739060e+00 3.473125478170179026e+00 3.365664166892039066e+00 -1.666720801418544617e+00 -4.388658578639776930e-01 -8.532837728101999586e-01 7.758373356369645535e+01 -3.670372253237900312e-02 -3.795333882950827631e-01 4.944443716078514228e+01
1.570155902004451542e+00 1.026484369063902946e+01 1.849816342297018412e+00 1.953111024249914562e+00 3.457880150989369739e+00 3.379250548329208126e+00 -1.685661890681934061e+00 -4.389813466816369081e-01 -8.545519999060304794e-01 7.774891976667593951e+01 -3.242924874721069689e-02 -3.797118269509355271e-01 4.944704213933365367e+01
1.573496659242758833e+00 1.027637006451405988e+01 1.861128284022145918e+00 1.947447933426516453e+00 3.442563810151738402e+00 3.392830806384108389e+00 -1.704649538809712928e+00 -4.390824854595176130e-01 -8.558208209369499997e-01 7.791411473521269215e+01 -2.811109509358322017e-02 -3.798884745492040471e-01 4.944968612983700496e+01
1.576837416481066123e+00 1.028784515109953190e+01 1.872485582680261995e+00 1.941721332322510873e+00 3.427176102117961864e+00 3.406404090477634039e+00 -1.723683304235521963e+00 -4.391691115876198981e-01 -8.570902238654805050e-01 7.807931861236107807e+01 -2.373957593577397801e-02 -3.800593697344940014e-01 4.945237652624675917e+01
1.580178173719373413e+00 1.029926871139674738e+01 1.883888213552799895e+00 1.935931067622858270e+00 3.411716682226257458e+00 3.419969550437726102e+00 -1.742762735230987792e+00 -4.392410336843195484e-01 -8.583601802668843206e-01 7.824453156321892777e+01 -1.930729762970209706e-02 -3.802187471033658950e-01 4.945511901994969861e+01
1.583518930957680704e+00 1.031064050527075437e+01 1.895336149081970456e+00 1.930076987539291800e+00 3.396185214960121268e+00 3.433526336716066663e+00 -1.761887369428325023e+00 -4.392980405757304085e-01 -8.596306402373740108e-01 7.840975376822268572e+01 -1.480990289675040636e-02 -3.803596211838094487e-01 4.945791702603975182e+01
1.586859688195987994e+00 1.032196029148158445e+01 1.906829358873066482e+00 1.924158941846469517e+00 3.380581374383987203e+00 3.447073600504677593e+00 -1.781056733482633714e+00 -4.393399122488012565e-01 -8.609015294615216529e-01 7.857498541490821253e+01 -1.024649884167221081e-02 -3.804744837913387467e-01 4.946077134573488365e+01
1.590200445434295284e+00 1.033322782771717563e+01 1.918367809697010262e+00 1.918176781918964791e+00 3.364904844707435227e+00 3.460610493768185858e+00 -1.800270342913598665e+00 -4.393664316469479969e-01 -8.621727486986816569e-01 7.874022668898554400e+01 -5.619729950071080359e-03 -3.805560424488102500e-01 4.946368009618612405e+01
1.593541202672602575e+00 1.034444287062832046e+01 1.929951465492898643e+00 1.912130360768451220e+00 3.349155320926080925e+00 3.474136169214460779e+00 -1.819527702148891812e+00 -4.393773961082007018e-01 -8.634441756997069950e-01 7.890547776563511206e+01 -9.354937870399687022e-04 -3.805979246624917600e-01 4.946663891152974912e+01
1.596881959910909865e+00 1.035560517586580254e+01 1.941580287370385793e+00 1.906019533080398842e+00 3.333332509479929762e+00 3.487649780231069752e+00 -1.838828304772308853e+00 -4.393726272991352877e-01 -8.647156693198517763e-01 7.907073880189946635e+01 3.797666780174353829e-03 -3.805952775918615139e-01 4.946964139157421414e+01
1.600222717149217155e+00 1.036671449811968060e+01 1.953254233611836588e+00 1.899844155249619693e+00 3.317436128868424206e+00 3.501150480817154964e+00 -1.858171633960395974e+00 -4.393519786661654880e-01 -8.659870753762414219e-01 7.923600993092314582e+01 8.569428833368804982e-03 -3.805452044261393718e-01 4.947267974976401206e+01
1.603563474387524446e+00 1.037777059116046807e+01 1.964973259674286377e+00 1.893604085414084759e+00 3.301465910165712891e+00 3.514637425539793636e+00 -1.877557163073923618e+00 -4.393153396904794783e-01 -8.672582336301183359e-01 7.940129125859751014e+01 1.336872106157475405e-02 -3.804469962788299964e-01 4.947574559249038373e+01
1.606904231625831736e+00 1.038877320788180469e+01 1.976737318191333026e+00 1.887299183486570664e+00 3.285421597389391213e+00 3.528109769540770380e+00 -1.896984356356662627e+00 -4.392626365659471066e-01 -8.685289851713796638e-01 7.956658286291740012e+01 1.818481524190143639e-02 -3.803021397691275785e-01 4.947883074934409109e+01
1.610244988864139026e+00 1.039972210034406785e+01 1.988546358975164630e+00 1.880929311183871411e+00 3.269302947690054140e+00 3.541566668614319457e+00 -1.916452669684805432e+00 -4.391938292860948501e-01 -8.697991794549592148e-01 7.973188479607829038e+01 2.300836642629626450e-02 -3.801141034536915653e-01 4.948192806970969571e+01
1.613585746102446317e+00 1.041061701981829124e+01 2.000400329018985346e+00 1.874494332053504797e+00 3.253109731346099487e+00 3.555007279369293727e+00 -1.935961551306859540e+00 -4.391089054892173271e-01 -8.710686802869135326e-01 7.989719708906528695e+01 2.783229747994337908e-02 -3.798879285530948335e-01 4.948503210551795206e+01
1.616926503340753607e+00 1.042145771682974242e+01 2.012299172500132904e+00 1.867994111498046061e+00 3.236841731566634017e+00 3.568430759481075576e+00 -1.955510442516152247e+00 -4.390078717332182023e-01 -8.723373701764590704e-01 8.006251975823609257e+01 3.265244083786703055e-02 -3.796296687440801065e-01 4.948813961245948434e+01
1.620267260579060897e+00 1.043224394120055010e+01 2.024242830784185099e+00 1.861428516797397625e+00 3.220498744123265755e+00 3.581836268030102577e+00 -1.975098778205930605e+00 -4.388907431217963784e-01 -8.736051526455097527e-01 8.022785281320427941e+01 3.746787614083340462e-02 -3.793457382572902881e-01 4.949124982116325810e+01
1.623608017817368188e+00 1.044297544209086404e+01 2.036231242430325938e+00 1.854797417129455006e+00 3.204080576847310624e+00 3.595222965915883417e+00 -1.994725987269552414e+00 -4.387575323568335683e-01 -8.748719523007694177e-01 8.039319626520642714e+01 4.228093405041283281e-02 -3.790422357493641314e-01 4.949436445373292059e+01
1.626948775055675478e+00 1.045365196803817298e+01 2.048264343198198389e+00 1.848100683589727566e+00 3.187587049041009202e+00 3.608590016328536709e+00 -2.014391492824182617e+00 -4.386082393341568242e-01 -8.761377127029016387e-01 8.055855013509749085e+01 4.709687073967467469e-02 -3.787243126821818184e-01 4.949748748713342650e+01
1.630289532293982768e+00 1.046427326699459748e+01 2.060342066056394916e+00 1.841338189210513843e+00 3.171017990858598701e+00 3.621936585254776464e+00 -2.034094712254122417e+00 -4.384428423285367526e-01 -8.774023922892386640e-01 8.072391446016736438e+01 5.192325080868959858e-02 -3.783956492325461496e-01 4.950062469055258418e+01
1.633630289532290059e+00 1.047483908636213812e+01 2.072464341192661763e+00 1.834509808980217649e+00 3.154373242714908265e+00 3.635261841992299736e+00 -2.053835057087680660e+00 -4.382612916376928958e-01 -8.786659587985943265e-01 8.088928929910085230e+01 5.676910532546217830e-02 -3.780580887714642402e-01 4.950378298642909414e+01
1.636971046770597349e+00 1.048534917302606928e+01 2.084631096025797437e+00 1.827615419863312107e+00 3.137652654775391792e+00 3.648564959645937300e+00 -2.073611932737623231e+00 -4.380635062935538393e-01 -8.799283827900949984e-01 8.105467473460007000e+01 6.164395347032651518e-02 -3.777114650160728893e-01 4.950696970208586123e+01
1.640311804008904639e+00 1.049580327338683894e+01 2.096842255219142803e+00 1.820654900821341959e+00 3.120856086572628474e+00 3.661845115580691701e+00 -2.093424738148172537e+00 -4.378493741297879160e-01 -8.811896309289087847e-01 8.122007087343082787e+01 6.655678876262005605e-02 -3.773536358704621674e-01 4.951019178915029073e+01
1.643652561247211930e+00 1.050620113339093642e+01 2.109097740695484280e+00 1.813628132835188200e+00 3.103983406781219312e+00 3.675101491810726984e+00 -2.113272865400070977e+00 -4.376187551508456952e-01 -8.824496597232394102e-01 8.138547784391884932e+01 7.151513294247227592e-02 -3.769807168229865613e-01 4.951345509023105507e+01
1.646993318485519220e+00 1.051654249856129653e+01 2.121397471653124533e+00 1.806534998928647218e+00 3.087034493166983307e+00 3.688333275309080950e+00 -2.133155699328633581e+00 -4.373714878146006679e-01 -8.837084103390339118e-01 8.155089579117920096e+01 7.652425220980177412e-02 -3.765874867163500617e-01 4.951676372652357827e+01
1.650334075723826510e+00 1.052682711402783688e+01 2.133741364582845801e+00 1.799375384193188765e+00 3.070009232709002056e+00 3.701539658229811902e+00 -2.153072617207714146e+00 -4.371073975517060783e-01 -8.849658049986262043e-01 8.171632487058872130e+01 8.158661269005346162e-02 -3.761679217624321336e-01 4.952011966682580635e+01
1.653674832962133801e+00 1.053705472455865255e+01 2.146129333285465624e+00 1.792149175813594564e+00 3.052907521876039976e+00 3.714719838041831590e+00 -2.173022988545425083e+00 -4.368263066285981711e-01 -8.862217453002710910e-01 8.188176524018240343e+01 8.670162664723074508e-02 -3.757158014957467373e-01 4.952352251929380600e+01
1.657015590200441091e+00 1.054722507459236169e+01 2.158561288889700780e+00 1.784856263094042106e+00 3.035729267023844269e+00 3.727873017581129655e+00 -2.193006175026002147e+00 -4.365280443384738640e-01 -8.874761125952200791e-01 8.204721705275490251e+01 9.186571077568338184e-02 -3.752253240950073621e-01 4.952696956416918539e+01
1.660356347438748381e+00 1.055733790827190610e+01 2.171037139870086730e+00 1.777496537484110295e+00 3.018474384868182092e+00 3.740998405034808183e+00 -2.213021530617627075e+00 -4.362124564865826337e-01 -8.887287703484606505e-01 8.221268044846850387e+01 9.707264599862111543e-02 -3.746916686802818641e-01 4.953045602105702727e+01
1.663697104677055671e+00 1.056739296947999485e+01 2.183556792064755392e+00 1.770069892604138717e+00 3.001142802981336288e+00 3.754095213875738413e+00 -2.233068401849729323e+00 -4.358794132230803808e-01 -8.899795682099805871e-01 8.237815554870670098e+01 1.023141978365983418e-01 -3.741114486814098306e-01 4.953397552064042486e+01
1.667037861915362962e+00 1.057739000187616796e+01 2.196120148692944696e+00 1.762576224269394087e+00 2.983734460257732035e+00 3.767162662770258574e+00 -2.253146128246933610e+00 -4.355288144581607179e-01 -8.912283473553823665e-01 8.254364245177731618e+01 1.075809306340869964e-01 -3.734830124034062004e-01 4.953752073037437498e+01
1.670378619153670252e+00 1.058732874893529008e+01 2.208727110372186608e+00 1.755015430512561814e+00 2.966249307297605498e+00 3.780199975482886554e+00 -2.273254042891959426e+00 -4.351605923504445750e-01 -8.924749465343114752e-01 8.270914123087327141e+01 1.128631302903846390e-01 -3.728065631708019634e-01 4.954108406872920511e+01
1.673719376391977542e+00 1.059720895398712592e+01 2.221377575135204285e+00 1.747387411604195417e+00 2.948687306665725760e+00 3.793206380801391386e+00 -2.293391473077839304e+00 -4.347747106636241643e-01 -8.937192082038122320e-01 8.287465193446527678e+01 1.181517404190408072e-01 -3.720840901945711710e-01 4.954465843440591755e+01
1.677060133630284833e+00 1.060703036025653390e+01 2.234071438446624036e+00 1.739692070070904206e+00 2.931048432994356023e+00 3.806181112502883046e+00 -2.313557741001930346e+00 -4.343711611066123357e-01 -8.949609841265385723e-01 8.304017458905155991e+01 1.234392169163419373e-01 -3.713191206277370315e-01 4.954823787636819077e+01
1.680400890868592123e+00 1.061679271090370769e+01 2.246808593219664196e+00 1.731929310711222136e+00 2.913332672914635157e+00 3.819123409377068956e+00 -2.333752164451010636e+00 -4.339499570762464509e-01 -8.962001398792871498e-01 8.320570920395194037e+01 1.287202156095497152e-01 -3.705163211909335286e-01 4.955181813749633335e+01
1.683741648106899413e+00 1.062649574906391159e+01 2.259588929833014070e+00 1.724099040609272881e+00 2.895540024816936953e+00 3.832032515316971644e+00 -2.353974057428552591e+00 -4.335111254783615142e-01 -8.974365578378233899e-01 8.337125577762985529e+01 1.339920458588872154e-01 -3.696809924658197022e-01 4.955539701836933375e+01
1.687082405345206704e+00 1.063613921788614647e+01 2.272412336148132539e+00 1.716201169146496008e+00 2.877670498456902148e+00 3.844907679480702445e+00 -2.374222730681752047e+00 -4.330546974874292521e-01 -8.986701383662271114e-01 8.353681430487816328e+01 1.392548477330678713e-01 -3.688185090366613017e-01 4.955897452664579816e+01
1.690423162583513994e+00 1.064572286057028094e+01 2.285278697527203917e+00 1.708235608011825279e+00 2.859724114438213505e+00 3.857748156520977023e+00 -2.394497492096385738e+00 -4.325806991993150774e-01 -8.999007991257944594e-01 8.370238478412538541e+01 1.445114790575287855e-01 -3.679337631685493659e-01 4.956255279974803329e+01
1.693763919821821284e+00 1.065524642040230674e+01 2.298187896851959344e+00 1.700202271210798255e+00 2.841700903614408080e+00 3.870553206872566765e+00 -2.414797646940966214e+00 -4.320891431278027217e-01 -9.011284726105097675e-01 8.386796722411710903e+01 1.497671282747552457e-01 -3.670306682873678006e-01 4.956613581174939043e+01
1.697104677060128575e+00 1.066470964078753347e+01 2.311139814543536897e+00 1.692101075074107897e+00 2.823600906459077020e+00 3.883322097082352986e+00 -2.435122497956617060e+00 -4.315800213952501463e-01 -9.023531021936792573e-01 8.403356164930042382e+01 1.550286966293733804e-01 -3.661117714235972986e-01 4.956972889714807451e+01
1.700445434298435865e+00 1.067411226528169443e+01 2.324134328583486120e+00 1.683931938266097550e+00 2.805424172456032483e+00 3.896054100162594569e+00 -2.455471345304119701e+00 -4.310533012827224564e-01 -9.035746371157618029e-01 8.419916810338041557e+01 1.603040159244651097e-01 -3.651780118239028039e-01 4.957333814237968284e+01
